Attendance,Study_Hours,Previous_Marks,Result
85,5.0,46,Pass
64,6.0,89,Pass
91,3.5,80,Pass
80,1.5,33,Fail
41,0.5,95,Fail
98,2.0,87,Pass
84,1.0,45,Fail
86,4.0,84,Pass
43,1.0,32,Fail
64,3.5,95,Pass
59,4.5,72,Pass
95,3.5,71,Pass
77,1.5,31,Pass
88,5.0,88,Pass
64,4.5,27,Pass
50,4.5,42,Pass
71,1.0,35,Fail
39,1.0,79,Fail
89,5.5,39,Pass
76,2.5,89,Pass
84,2.0,71,Pass
58,3.0,28,Fail
98,4.0,25,Pass
93,6.0,29,Pass
86,2.0,67,Pass
48,5.5,81,Pass
65,0.5,42,Fail
38,3.5,84,Fail
45,4.0,29,Fail
79,1.0,81,Pass
83,1.5,90,Pass
98,3.0,79,Pass
56,6.0,74,Pass
59,4.0,84,Pass
66,5.5,28,Pass
47,5.0,39,Fail
43,3.0,34,Fail
66,5.0,60,Pass
50,0.5,77,Fail
79,1.0,69,Pass
63,5.0,85,Pass
89,5.0,36,Pass
81,2.0,76,Pass
55,3.5,39,Fail
89,4.0,44,Pass
87,5.5,75,Pass
60,4.0,94,Pass
54,3.0,68,Pass
79,2.5,29,Fail
44,3.0,68,Fail
48,4.0,28,Fail
35,5.5,87,Pass
86,3.0,75,Pass
78,2.0,37,Pass
81,2.0,31,Pass
86,4.5,38,Pass
65,5.0,94,Pass
72,1.0,57,Fail
44,1.0,80,Fail
42,4.0,70,Pass
78,1.5,65,Fail
66,5.0,35,Pass
72,2.0,91,Pass
85,1.5,46,Fail
76,5.5,65,Pass
71,1.5,74,Pass
71,2.0,70,Pass
55,1.5,91,Fail
37,1.0,35,Fail
63,0.5,61,Fail
49,1.0,53,Fail
62,1.5,58,Fail
90,1.0,33,Fail
50,4.0,34,Pass
39,4.0,44,Fail
53,2.5,46,Pass
54,2.0,55,Fail
78,3.5,68,Pass
71,5.5,69,Pass
86,5.0,54,Pass
78,0.5,54,Fail
61,1.5,40,Fail
88,2.0,66,Pass
46,2.0,47,Fail
36,3.5,28,Fail
41,3.0,54,Fail
82,1.0,58,Fail
65,2.5,41,Fail
45,3.5,65,Fail
68,1.0,65,Fail
45,5.0,74,Pass
80,1.0,70,Fail
64,5.5,71,Pass
60,1.0,47,Fail
55,5.0,80,Pass
76,5.5,63,Pass
59,6.0,55,Pass
41,5.0,69,Pass
43,5.0,50,Pass
98,4.0,61,Pass
94,5.0,77,Pass
80,1.0,87,Pass
52,3.5,89,Pass
98,3.5,60,Pass
86,5.0,61,Pass
82,3.0,81,Pass
64,2.5,47,Fail
53,4.0,84,Pass
41,2.0,60,Fail
94,1.5,33,Pass
65,3.0,30,Pass
48,3.0,84,Pass
55,2.0,29,Fail
73,2.5,45,Pass
46,2.5,48,Fail
91,2.5,37,Pass
84,2.5,47,Fail
82,4.5,77,Pass
63,2.0,26,Fail
76,5.5,83,Pass
73,5.5,85,Pass
77,3.0,51,Pass
40,2.5,36,Fail
62,3.5,67,Pass
38,5.0,33,Fail
67,4.0,51,Pass
56,5.0,92,Pass
44,3.5,95,Pass
42,4.0,79,Fail
73,2.0,47,Fail
46,4.5,73,Pass
95,1.5,74,Pass
73,4.5,52,Pass
58,5.0,70,Pass
73,1.0,26,Fail
36,4.0,40,Fail
97,1.0,62,Pass
66,4.5,36,Pass
86,1.0,37,Fail
40,5.5,84,Pass
67,1.5,94,Pass
67,6.0,64,Pass
96,5.0,84,Pass
72,4.0,94,Pass
66,5.0,35,Pass
52,5.0,56,Fail
57,5.5,52,Pass
69,2.0,31,Fail
64,3.5,78,Pass
36,1.0,55,Fail
89,4.0,58,Pass
93,1.5,36,Fail
44,3.5,38,Fail
71,3.5,88,Pass
42,3.0,28,Fail
79,3.5,41,Pass
53,4.5,45,Pass
78,5.0,59,Pass
82,3.0,66,Pass
85,4.0,60,Pass
42,5.5,31,Pass
95,1.0,42,Fail
50,1.0,84,Fail
37,1.0,70,Fail
71,4.0,70,Pass
59,3.0,72,Fail
89,5.0,78,Pass
88,4.0,29,Pass
56,2.5,51,Pass
97,5.5,63,Pass
54,4.5,49,Pass
68,2.0,84,Pass
52,2.5,59,Fail
96,2.0,79,Pass
46,1.5,85,Fail
38,1.5,60,Fail
63,5.5,89,Pass
100,3.0,66,Pass
93,2.5,85,Pass
84,4.5,49,Pass
93,3.5,60,Pass
93,5.5,62,Pass
69,5.0,32,Pass
56,3.0,53,Pass
85,2.5,89,Pass
78,6.0,69,Pass
59,4.5,37,Pass
41,5.5,49,Pass
84,1.0,38,Fail
52,5.0,27,Fail
96,4.0,90,Pass
51,1.0,56,Fail
43,3.5,47,Pass
89,4.5,67,Pass
45,0.5,26,Fail
47,3.0,44,Fail
74,5.0,74,Pass
92,2.0,69,Pass
48,3.0,94,Pass
55,3.0,68,Fail
