Attendance,Study_Hours,Previous_Marks,Result
85,4.5,77,Pass
64,4.5,95,Pass
91,1.5,28,Fail
80,0.5,42,Fail
41,2.0,67,Fail
98,1.5,54,Pass
84,2.5,70,Pass
86,6.0,66,Pass
43,1.5,80,Fail
64,2.5,30,Pass
59,4.5,56,Pass
95,3.5,85,Pass
77,0.5,50,Pass
88,1.5,60,Pass
64,5.5,27,Fail
50,1.0,41,Fail
71,4.0,57,Pass
39,5.0,53,Fail
89,2.0,75,Pass
76,4.5,68,Pass
84,1.5,87,Pass
58,2.0,85,Pass
98,2.0,42,Fail
93,6.0,26,Pass
86,1.5,85,Pass
48,1.0,48,Fail
65,5.5,49,Fail
38,1.5,36,Fail
45,5.5,74,Pass
79,4.0,45,Pass
83,3.5,37,Pass
98,4.5,60,Pass
56,4.5,78,Fail
59,1.0,44,Fail
66,6.0,76,Pass
47,5.5,57,Fail
43,5.5,53,Pass
66,4.0,50,Pass
50,3.5,35,Fail
79,3.5,48,Pass
63,0.5,87,Fail
89,3.0,32,Pass
81,4.0,92,Pass
55,4.0,33,Fail
89,2.5,50,Fail
87,3.0,67,Pass
60,4.0,84,Fail
54,3.0,35,Fail
79,6.0,35,Pass
44,4.5,69,Pass
48,0.5,45,Fail
35,0.5,70,Fail
86,4.5,82,Pass
78,3.0,30,Fail
81,5.0,84,Pass
86,1.5,28,Pass
65,0.5,88,Pass
72,2.5,93,Pass
44,4.5,72,Pass
42,6.0,94,Pass
78,5.5,83,Pass
66,3.0,28,Fail
72,5.0,25,Pass
85,1.0,26,Pass
76,3.5,57,Pass
71,5.5,69,Pass
71,2.5,59,Pass
55,6.0,72,Pass
37,1.5,56,Fail
63,1.0,28,Fail
49,3.5,41,Fail
62,5.5,94,Pass
90,2.0,49,Pass
50,5.0,48,Fail
39,1.5,36,Fail
53,4.5,94,Pass
54,3.5,41,Pass
78,1.5,70,Pass
71,4.5,28,Pass
86,4.5,30,Pass
78,3.5,75,Pass
61,1.5,69,Pass
88,1.0,73,Pass
46,6.0,41,Pass
36,4.0,94,Pass
41,5.0,64,Pass
82,4.5,93,Pass
65,5.0,36,Pass
45,1.5,53,Fail
68,3.0,48,Pass
45,4.0,78,Pass
80,1.0,77,Fail
64,1.5,59,Fail
60,4.0,26,Fail
55,5.5,37,Pass
76,4.0,29,Pass
59,0.5,84,Fail
41,6.0,45,Pass
43,1.5,33,Fail
98,2.0,50,Pass
94,6.0,30,Pass
80,4.5,94,Pass
52,5.5,47,Pass
98,5.0,90,Pass
86,4.0,73,Pass
82,2.0,65,Fail
64,2.5,58,Fail
53,5.5,73,Pass
41,5.0,73,Pass
94,2.5,26,Fail
65,2.5,89,Pass
48,2.0,51,Fail
55,2.5,50,Fail
73,5.0,53,Pass
46,0.5,73,Fail
91,3.0,51,Pass
84,5.5,51,Pass
82,3.5,29,Pass
63,3.0,54,Fail
76,2.0,35,Fail
73,1.0,85,Fail
77,1.5,48,Pass
40,1.0,92,Fail
62,1.0,73,Fail
38,1.5,78,Fail
67,2.0,91,Pass
56,0.5,42,Fail
44,5.5,65,Pass
42,1.0,28,Fail
73,2.5,32,Fail
46,5.5,51,Pass
95,1.0,73,Pass
73,3.0,83,Pass
58,5.0,43,Pass
73,3.5,77,Pass
36,1.5,41,Fail
97,4.5,25,Pass
66,4.0,29,Fail
86,2.5,66,Pass
40,1.0,60,Fail
67,0.5,44,Fail
67,5.0,25,Pass
96,2.5,65,Pass
72,1.5,82,Pass
66,3.5,30,Pass
52,5.5,77,Pass
57,0.5,69,Fail
69,1.0,59,Fail
64,3.0,28,Fail
36,4.0,90,Pass
89,3.0,58,Pass
93,5.5,53,Pass
44,0.5,85,Fail
71,2.5,84,Pass
42,2.5,76,Pass
79,2.5,83,Pass
53,3.0,34,Fail
78,5.0,78,Pass
82,2.0,48,Fail
85,4.5,86,Pass
42,1.5,51,Fail
95,3.5,29,Pass
50,2.5,54,Pass
37,3.5,78,Fail
71,1.0,60,Fail
59,5.5,78,Pass
89,5.5,27,Pass
88,5.0,37,Pass
56,5.5,64,Pass
97,1.5,52,Pass
54,3.5,73,Pass
68,2.0,92,Pass
52,5.5,71,Pass
96,1.5,54,Pass
46,1.5,63,Fail
38,4.5,89,Pass
63,1.0,72,Pass
100,4.5,81,Pass
93,2.0,46,Pass
84,4.0,77,Pass
93,5.5,35,Pass
93,4.0,77,Pass
69,1.5,87,Pass
56,1.0,88,Pass
85,0.5,33,Fail
78,1.0,83,Pass
59,3.5,33,Fail
41,2.5,58,Fail
84,2.0,73,Pass
52,1.5,59,Fail
96,5.5,49,Pass
51,1.0,73,Fail
43,2.0,71,Pass
89,3.0,66,Pass
45,0.5,62,Fail
47,5.5,74,Pass
74,1.0,53,Fail
92,4.5,30,Pass
48,4.0,63,Pass
55,5.0,76,Pass
86,4.0,46,Pass
98,4.5,35,Pass
68,3.0,89,Pass
44,3.0,85,Fail
36,4.5,68,Pass
50,3.5,80,Pass
44,3.5,93,Pass
79,1.5,65,Pass
43,2.0,42,Fail
68,2.5,70,Pass
80,0.5,89,Fail
73,3.0,73,Pass
48,0.5,27,Fail
87,3.5,89,Pass
82,4.5,78,Pass
83,3.5,53,Pass
44,4.5,94,Pass
43,0.5,76,Fail
95,1.0,83,Pass
61,4.5,91,Pass
55,5.0,28,Fail
67,4.5,79,Pass
78,4.0,52,Pass
97,4.5,86,Pass
54,4.5,87,Pass
95,4.5,83,Pass
37,4.5,80,Pass
71,1.0,81,Fail
76,1.0,46,Fail
42,2.5,53,Fail
44,3.5,33,Fail
62,4.5,83,Pass
98,2.5,70,Pass
74,2.0,68,Pass
96,5.0,42,Pass
87,2.0,68,Pass
65,5.0,57,Pass
86,1.5,95,Pass
36,2.5,85,Pass
42,2.5,62,Fail
89,2.0,82,Pass
87,0.5,37,Fail
50,2.0,32,Fail
70,2.5,69,Pass
74,2.0,76,Pass
91,5.0,29,Pass
74,1.0,39,Fail
62,2.5,63,Fail
59,0.5,29,Fail
63,5.5,55,Fail
77,5.0,59,Pass
91,6.0,90,Pass
65,5.5,47,Pass
51,2.0,37,Fail
50,4.5,26,Fail
83,2.0,34,Pass
88,5.5,78,Pass
42,3.0,56,Pass
39,2.5,39,Fail
74,5.5,90,Pass
45,5.0,80,Pass
89,6.0,33,Pass
55,1.0,44,Fail
44,2.0,84,Pass
95,2.0,73,Pass
46,3.0,91,Pass
54,3.0,30,Fail
45,2.0,79,Fail
43,5.0,30,Fail
36,1.5,49,Fail
39,4.5,78,Pass
46,5.0,75,Pass
38,4.0,25,Fail
73,2.5,39,Fail
79,1.5,80,Pass
61,1.0,34,Fail
56,4.5,48,Pass
68,3.0,38,Fail
92,1.0,33,Fail
90,6.0,84,Pass
38,4.0,29,Fail
47,5.0,63,Pass
50,3.0,73,Fail
51,6.0,29,Pass
72,1.5,69,Pass
62,1.5,48,Fail
38,5.5,83,Pass
59,5.5,81,Pass
69,3.0,81,Pass
42,1.0,53,Fail
89,2.0,83,Pass
38,4.5,69,Fail
95,5.0,52,Pass
41,2.5,31,Fail
90,1.0,30,Fail
94,4.0,43,Pass
99,4.5,46,Pass
87,3.0,90,Pass
86,3.5,95,Pass
77,6.0,35,Pass
86,2.0,91,Pass
44,3.5,74,Fail
70,4.0,60,Pass
68,3.5,92,Pass
91,5.5,75,Pass
65,4.0,67,Pass
60,3.5,40,Fail
77,1.0,42,Fail
52,4.5,89,Pass
44,1.0,40,Fail
66,0.5,27,Fail
62,3.0,44,Fail
50,3.5,59,Pass
59,6.0,52,Pass
59,4.5,91,Pass
56,5.0,54,Pass
60,2.5,87,Pass
80,3.5,67,Pass
54,6.0,62,Pass
97,3.0,36,Pass
95,5.0,44,Pass
66,3.5,86,Pass
56,1.5,80,Pass
70,3.5,56,Pass
90,1.5,89,Pass
77,0.5,82,Fail
87,2.0,33,Pass
70,1.5,67,Fail
76,2.5,81,Pass
54,5.5,82,Pass
83,2.5,31,Fail
48,5.0,41,Fail
80,3.5,54,Pass
91,0.5,43,Fail
44,1.5,33,Fail
75,5.5,69,Pass
41,4.0,61,Fail
82,5.5,36,Pass
40,2.0,66,Fail
96,4.5,29,Pass
44,4.5,52,Pass
97,6.0,80,Pass
87,0.5,87,Fail
74,5.5,42,Pass
86,2.5,85,Pass
87,5.0,87,Pass
96,3.5,67,Pass
51,3.5,94,Pass
73,2.5,42,Fail
41,5.0,30,Pass
75,2.0,84,Pass
46,3.0,59,Fail
72,3.5,49,Pass
72,4.5,29,Pass
65,3.0,30,Pass
69,4.0,31,Pass
85,3.0,38,Pass
87,4.0,93,Pass
67,4.0,45,Fail
74,4.5,82,Pass
96,5.0,26,Pass
43,3.5,48,Fail
43,1.5,88,Fail
41,4.0,38,Fail
78,1.0,45,Fail
62,1.5,83,Pass
85,5.0,33,Pass
79,3.0,29,Pass
57,3.0,93,Pass
93,6.0,53,Pass
85,2.0,71,Pass
53,0.5,34,Fail
59,1.0,40,Fail
55,2.0,57,Fail
45,4.5,72,Pass
45,5.0,46,Pass
96,3.5,87,Pass
63,2.0,80,Pass
60,3.5,64,Pass
82,0.5,57,Pass
71,4.0,68,Pass
96,4.0,76,Pass
86,0.5,34,Fail
66,5.0,85,Pass
59,4.5,59,Pass
99,2.0,90,Pass
82,4.0,92,Pass
97,4.0,27,Pass
43,1.5,52,Fail
90,1.5,62,Pass
76,4.5,63,Pass
43,5.5,83,Pass
73,3.5,35,Pass
80,3.5,69,Pass
36,4.0,91,Pass
65,3.0,95,Pass
89,1.0,26,Fail
54,2.5,93,Pass
65,5.5,34,Pass
64,5.0,63,Pass
55,5.5,42,Pass
95,1.5,67,Pass
86,3.5,28,Pass
42,3.5,42,Fail
100,1.5,46,Fail
92,1.5,89,Pass
53,5.0,66,Pass
89,4.0,75,Pass
42,4.0,72,Pass
100,2.0,52,Fail
78,3.5,26,Fail
77,0.5,32,Fail
41,1.0,57,Fail
93,3.5,91,Pass
37,2.0,42,Fail
51,6.0,74,Pass
44,3.0,83,Fail
85,1.0,88,Pass
48,0.5,46,Fail
94,4.5,90,Pass
78,1.5,68,Pass
37,1.5,61,Fail
35,3.0,79,Pass
38,2.0,42,Fail
74,4.0,82,Pass
87,3.0,70,Pass
